id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,beds,review_scores_rating
4387830,21550722,Liz,Pittwater,-33.6425904,151.3226482,Entire home/apt,399,7,2,2/1/17,0.07,1,0,6,100
8906623,46586106,Robert,Pittwater,-33.6245473,151.3217364,Entire home/apt,200,3,11,15/10/16,0.67,1,77,2,100
12840533,27864651,Taran,Pittwater,-33.64745766,151.3215065,Entire home/apt,250,2,16,25/3/17,1.48,1,360,3,83
1700345,8978612,Jo,Pittwater,-33.62309908,151.3342547,Entire home/apt,110,2,21,24/3/17,0.68,1,343,1,100
13362491,75822889,Christopher,Pittwater,-33.62958485,151.3182183,Entire home/apt,226,2,0,,,1,0,3,
16327850,21545366,Lia,Pittwater,-33.66135156,151.3169168,Entire home/apt,115,1,14,4/3/17,4.08,1,143,2,98
12057230,64583606,Neil,Pittwater,-33.61929152,151.3342453,Entire home/apt,179,1,27,1/4/17,2.43,1,281,1,99
13270276,5866266,Clare,Pittwater,-33.64038396,151.3226035,Entire home/apt,150,1,19,25/3/17,1.93,3,177,3,93
15604936,4366831,Geoff,Pittwater,-33.66423838,151.3145593,Private room,95,1,3,21/1/17,0.97,1,174,1,93
9369359,48611301,Rosemary,Pittwater,-33.6386243,151.2927887,Private room,210,1,4,18/3/17,0.29,2,297,1,100
9670287,30073559,Rob,Pittwater,-33.66640724,151.3178462,Private room,145,1,0,,,4,365,1,
1472836,6070441,Elizabeth,Pittwater,-33.63307061,151.3278708,Private room,121,2,1,26/1/16,0.07,2,365,1,100
10809667,43845309,Bradley,Pittwater,-33.63929731,151.3295103,Entire home/apt,110,1,3,11/2/16,0.21,1,0,1,100
16975092,50963981,Kitty,Pittwater,-33.65428461,151.3198267,Entire home/apt,105,1,0,,,1,64,2,
85050,465560,Elaine,Pittwater,-33.62093674,151.334999,Private room,150,2,4,24/2/17,0.13,10,363,1,75
17180014,7902497,Ryan,Pittwater,-33.6536045,151.3199607,Entire home/apt,125,2,0,,,1,100,2,
909118,4874588,Heidi,Pittwater,-33.63672445,151.3223574,Entire home/apt,100,2,82,30/3/17,1.66,1,344,1,97
4652541,24083976,Sophie,Pittwater,-33.63594592,151.3233416,Entire home/apt,83,2,48,24/3/16,1.97,1,0,2,92
